institution,city,state,carnegie_basic,campus
Pima Medical Institute-Seattle,Seattle,WA,10,
Mineral County Vocational Technical Center,Keyser,WV,-2,
Hypnosis Motivation Institute,Tarzana,CA,-2,
Thanh Le College School of Cosmetology,Garden Grove,CA,-2,
Southeastern Technical College,Vidalia,GA,9,
Massachusetts School of Law,Andover,MA,31,
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,Orlando,FL,11,
Erwin Technical College,Tampa,FL,-2,
Rosel School of Cosmetology,Niles,IL,-2,
Worsham College of Mortuary Science,Wheeling,IL,12,
Oregon College of Oriental Medicine,Portland,OR,26,
Central Pennsylvania Institute of Science and Technology,Pleasant Gap,PA,11,
Northwest Educational Center,Houston,TX,-2,
PCI Health Training Center,Dallas,TX,-2,
Hamrick School,Medina,OH,-2,
Fortis College,Mobile,AL,-2,0
Fortis College,Houston,TX,10,1
Downey Adult School,Downey,CA,-2,
CRU Institute of Cosmetology and Barbering,Garden Grove,CA,-2,
Modern Technology School,Fountain Valley,CA,-2,
National Career Education,Citrus Heights,CA,10,
North-West College-Glendale,Glendale,CA,-2,
Fremont University,Cerritos,CA,23,
Pomona Unified School District Adult and Career Education,Pomona,CA,-2,
Universal College of Beauty Inc-Los Angeles 2,Los Angeles,CA,-2,
IBMC College,Fort Collins,CO,10,
Avalon Institute-Aurora,Aurora,CO,-2,
Academy of Cosmetology,Merritt Island,FL,-2,
Fortis College-Smyrna,Smyrna,GA,10,
Ross College-Davenport,Davenport,IA,10,
Pivot Point Academy,Bloomingdale,IL,-2,
Blalock's Professional Beauty College,Shreveport,LA,-2,
Diesel Driving Academy-Baton Rouge,Baton Rouge,LA,-2,
New England Hair Academy,Malden,MA,-2,
Rob Roy Academy-Worcester,Worcester,MA,-2,
Upper Cape Cod Regional Technical School,Bourne,MA,-2,
All-State Career-Baltimore,Baltimore,MD,-2,
Adler Graduate School,Minnetonka,MN,26,
Academy of Hair Design-Jackson,Jackson,MS,-2,
KC's School of Hair Design,Pontotoc,MS,-2,
Lincoln Technical Institute-Moorestown,Moorestown,NJ,-2,
MCVSD,Freehold,NJ,-2,
National Tractor Trailer School Inc-Buffalo,Buffalo,NY,-2,
Yeshiva Gedolah Imrei Yosef D'spinka,Brooklyn,NY,24,
Knox County Career Center,Mount Vernon,OH,-2,
Madison Adult Career Center,Mansfield,OH,-2,
Remington College-Cleveland Campus,Cleveland,OH,9,
Toledo Academy of Beauty Culture-East,OREGON,OH,-2,
Brown & Clermont Adult Career Campuses,Bethel,OH,-2,
Chisholm Trail Technology Center,Omega,OK,-2,
Gordon Cooper Technology Center,Shawnee,OK,-2,
Kiamichi Technology Center-McAlester,McAlester,OK,-2,
YTI Career Institute-Altoona,Altoona,PA,10,
Eastern Center for Arts and Technology,Willow Grove,PA,-2,
Empire Beauty School-Center City Philadelphia,Philadelphia,PA,-2,
CEM College-Humacao,Humacao,PR,26,
Colegio Mayor de Tecnologia Inc,Arroyo,PR,-2,
Institucion Chaviano de Mayaguez,Mayaguez,PR,-2,
Liceo de Arte-Dise-O y Comercio,Caguas,PR,-2,
Universal Technology College of Puerto Rico,Aguadilla,PR,26,
Academy of Hair Technology,Greenville,SC,-2,
Mr Wayne's School of Unisex Hair Design,Cookeville,TN,-2,
Queen City College,Clarksville,TN,-2,
College of the Marshall Islands,Majuro,MH,14,
Remington College-Fort Worth Campus,Fort Worth,TX,14,
UCAS University of Cosmetology Arts & Sciences,San Antonio,TX,-2,
School of Automotive Machinists & Technology,Houston,TX,11,
Nuvani Institute,San Antonio,TX,-2,0
Nuvani Institute,Eagle Pass,TX,-2,1
Texas College of Cosmetology-Abilene,Abilene,TX,-2,
Centura College-Newport News,Newport News,VA,9,
Centura College-Norfolk,Norfolk,VA,10,
Virginia Beach City Public Schools School of Practical Nursing,Virginia Beach,VA,-2,
Northwest College of Art & Design,Tacoma,WA,30,
University of Washington-Bothell Campus,Bothell,WA,18,
University of Washington-Tacoma Campus,Tacoma,WA,18,
Huntington School of Beauty Culture,Huntington,WV,-2,
Valley College-Beckley,Beckley,WV,-2,
Valley College-Martinsburg,Martinsburg,WV,23,
Bellus Academy-Poway,Poway,CA,-2,
Capstone College,Pasadena,CA,-2,
Central Coast College,Salinas,CA,13,
Pacific College of Health and Science,San Diego,CA,26,0
Pacific College of Health and Science,New York,NY,26,1
Pacific College of Health and Science,Chicago,IL,26,2
Artistic Nails and Beauty Academy-Tampa,Tampa,FL,-2,
National Aviation Academy of Tampa Bay,Clearwater,FL,-2,
Madison Oneida BOCES-Practical Nursing Program,Verona,NY,-2,
College of Health Care Professions,Houston,TX,-2,
Center for Advanced Legal Studies,Houston,TX,13,
Houston Training School-Main Campus,Houston,TX,-2,
Bay Mills Community College,Brimley,MI,33,
Fond du Lac Tribal and Community College,Cloquet,MN,33,
Northwest Indian College,Bellingham,WA,33,
Provo College,Provo,UT,26,
CET-Coachella,Coachella,CA,-2,
CET-Oxnard,Oxnard,CA,-2,
CET-Santa Maria,Santa Maria,CA,-2,
Colorado School of Traditional Chinese Medicine,Denver,CO,26,
Michigan College of Beauty-Troy,Troy,MI,-2,
Ogle School Hair Skin Nails-Dallas,Dallas,TX,-2,
Phoenix Seminary,Scottsdale,AZ,24,
Faust Institute of Cosmetology-Spirit Lake,Spirit Lake,IA,-2,
Colorado School of Healing Arts,Lakewood,CO,-2,
Mt. Diablo Adult Education-Mt. Diablo USD,Concord,CA,-2,
Greater Lowell Technical School,Tyngsboro,MA,-2,
Academy of Hair Design-Pearl,Pearl,MS,-2,
Genesis Career College-Lebanon,Lebanon,TN,-2,
Southwest College for the Deaf,Big Spring,TX,4,
Fortis College-Richmond,Richmond,VA,10,
Midwest College of Oriental Medicine-Racine,Racine,WI,26,
Hacienda La Puente Adult Education,La Puente,CA,10,
La Belle Beauty Academy,Miami,FL,-2,
Hawaii Community College,Hilo,HI,7,
Robert Fiance Beauty Schools-North Plainfield,North Plainfield,NJ,-2,
Long Island Beauty School-Hauppauge,Hauppauge,NY,-2,
Buckeye Joint Vocational School,New Philadelphia,OH,-2,
Sandusky Career Center,Sandusky,OH,-2,
Greater Altoona Career & Technology Center,Altoona,PA,-2,
Central Texas Beauty College-Temple,Temple,TX,-2,
Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program,Angola,NY,-2,
Empire Beauty School-Brooklyn,Brooklyn,NY,-2,
Eastern New Mexico University Ruidoso Branch Community College,Ruidoso,NM,3,
UEI College-Ontario,Ontario,CA,-2,
UEI College-Reseda,Reseda,CA,-2,
Beacon College,Leesburg,FL,22,
Acupuncture and Integrative Medicine College-Berkeley,Berkeley,CA,26,
Estrella Mountain Community College,Avondale,AZ,2,
Heartland Community College,Normal,IL,3,
University of the Potomac-Washington DC Campus,Washington,DC,29,
Rabbi Jacob Joseph School,Edison,NJ,24,
The Salon Professional Academy-Melbourne,Melbourne,FL,-2,
Albert Einstein College of Medicine,Bronx,NY,27,
Fortis Institute-Scranton,Scranton,PA,10,
Everglades University,Boca Raton,FL,20,
Seminar L'moros Bais Yaakov,Brooklyn,NY,13,
Herzing University-Orlando,Winter Park,FL,26,
College of Biblical Studies-Houston,Houston,TX,24,
Mid-EastCTC-Adult Education,Zanesville,OH,-2,
Polaris Career Center,Middleburg Heights,OH,-2,
P&A Scholars Beauty School,Detroit,MI,-2,
Sharp's Academy of Hairstyling,Grand Blanc,MI,-2,
The College of Health Care Professions-Northwest,Houston,TX,26,
School of Professional Horticulture New York Botanical Garden,Bronx,NY,-2,
UEI College-Gardena,Gardena,CA,-2,
Asian-American International Beauty College,Westminster,CA,-2,
Copper Mountain Community College,Joshua Tree,CA,1,
Diversified Vocational College,Los Angeles,CA,-2,
UEI College-Fresno,Fresno,CA,-2,
Santiago Canyon College,Orange,CA,1,
Southern California Institute of Technology,Anaheim,CA,28,
Soka University of America,Aliso Viejo,CA,21,
Summit College,San Bernardino,CA,-2,
Advance Beauty College,Garden Grove,CA,-2,
Los Angeles Pacific College,Los Angeles,CA,1,
World Mission University,Los Angeles,CA,24,
Yo San University of Traditional Chinese Medicine,Los Angeles,CA,26,
John Amico School of Hair Design,Oak Forest,IL,-2,
Delta College Inc,Covington,LA,-2,
Tri-State Cosmetology Institute,El Paso,TX,-2,
Frontier Community College,Fairfield,IL,3,
Lincoln Trail College,Robinson,IL,2,
Wabash Valley College,Mount Carmel,IL,9,
Brookline College-Tempe,Tempe,AZ,13,
Inter American University of Puerto Rico-School of Optometry,Bayamon,PR,26,
Schiller International University,Tampa,FL,29,
Coconino Community College,Flagstaff,AZ,2,
Emma's Beauty Academy-Juana Diaz,Juana Diaz,PR,-2,
Brillare Beauty Institute,Cleveland,TN,-2,
Pima Medical Institute-Denver,Denver,CO,10,
Ohio State School of Cosmetology-Heath,Heath,OH,-2,
Yeshivas Novominsk,Brooklyn,NY,-2,
Southern Careers Institute-Corpus Christi,Corpus Christi,TX,-2,
Rabbinical College of Ohr Shimon Yisroel,Brooklyn,NY,24,
Carroll Community College,Westminster,MD,5,
Galen College of Nursing-Tampa Bay,Saint Petersburg,FL,10,
Galen College of Nursing-San Antonio,San Antonio,TX,26,
Sarasota School of Massage Therapy,Sarasota,FL,-2,
Schuyler Steuben Chemung Tioga Allegany BOCES,Elmira,NY,-2,
Delaware Chenango Madison Otsego BOCES-Practical Nursing Program,Norwich,NY,-2,
Central Susquehanna Intermediate Unit LPN Career,Milton,PA,-2,
Myotherapy Massage College,Millcreek City,UT,-2,
City College-Gainesville,Gainesville,FL,23,
Cosmetology Training Center,Lafayette,LA,-2,
Stage One-The Hair School,Lake Charles,LA,-2,
Empire Beauty School-Malden,Malden,MA,-2,
Xenon International Academy-Omaha,Omaha,NE,-2,
Orlo School of Hair Design and Cosmetology,Albany,NY,-2,
Eastland-Fairfield Career and Technical Schools,Groveport,OH,-2,
Empire Beauty School-Cincinnati,Cincinnati,OH,-2,
Mahoning County Career and Technical Center,Canfield,OH,-2,
Pickaway Ross Joint Vocational School District,Chillicothe,OH,-2,
Pioneer Career and Technology Center,Shelby,OH,-2,
Raphael's School of Beauty Culture Inc-Boardman,Boardman,OH,-2,
Scioto County Career Technical Center,Lucasville,OH,-2,
Trumbull Career & Technical Center,Warren,OH,-2,
Pacific Bible College,Medford,OR,13,
Lake Erie College of Osteopathic Medicine,Erie,PA,25,
UCAS University of Cosmetology Arts & Sciences-Harlingen,Harlingen,TX,-2,
Empire Beauty School-Green Bay,Ashwaubenon,WI,-2,
Warren County Career Center,Lebanon,OH,-2,
Paul Mitchell the School-Wichita,Wichita,KS,-2,
Pinnacle Institute of Cosmetology,Mooresville,NC,-2,
Southern Careers Institute-Pharr,Pharr,TX,-2,
Florida National University-Main Campus,Hialeah,FL,19,
Georgia Institute of Cosmetology,Athens,GA,-2,
Nouvelle Institute,Miami,FL,-2,
Franklin Technology Center Adult Education,Joplin,MO,-2,
Professional Technical Institution,Bayamon,PR,-2,
Erikson Institute,Chicago,IL,19,
South Texas College,McAllen,TX,14,
Pike County Joint Vocational School District,Piketon,OH,-2,
Lorain County Joint Vocational School District,Oberlin,OH,-2,
Roger Williams University School of Law,Bristol,RI,31,
California State University-Monterey Bay,Seaside,CA,18,
Ohio Media School-Valley View,Valley View,OH,-2,
EINE Inc,Tewksbury,MA,-2,
Marian Health Careers Center-Los Angeles Campus,Los Angeles,CA,-2,
Cleveland Clinic Health System-School of Diagnostic Imaging,Euclid,OH,-2,
Academy for Nursing and Health Occupations,West Palm Beach,FL,10,
Shawsheen Valley School of Practical Nursing,Billerica,MA,-2,
Shear Ego International School of Hair Design,Rochester,NY,-2,
Remington College-Memphis Campus,Memphis,TN,14,
Fayette Institute of Technology,Oak Hill,WV,-2,
Capella University,Minneapolis,MN,17,
College of Menominee Nation,Keshena,WI,33,
Leech Lake Tribal College,Cass Lake,MN,33,
Spartan College of Aeronautics & Technology,Inglewood,CA,11,
Yukon Beauty College Inc,Yukon,OK,-2,
United Education Institute-Morrow,Morrow,GA,-2,
Artistic Academy of Hair Design,Morris Plains,NJ,-2,
Motoring Technical Training Institute,Seekonk,MA,-2,
Mech-Tech College,Caguas,PR,7,
Baldwin Beauty School-North Austin,Austin,TX,-2,
Jean Madeline Aveda Institute,Philadelphia,PA,-2,
Tricoci University of Beauty Culture-Indianapolis,Indianapolis,IN,-2,
Trine University-Regional/Non-Traditional Campuses,Angola,IN,19,
Pennsylvania Highlands Community College,Johnstown,PA,6,
Nevada Career Institute,Las Vegas,NV,10,
Phillips Theological Seminary,Tulsa,OK,24,
Empire Beauty School-Hanover,Hanover,PA,-2,
Industrial Management Training Institute,Waterbury,CT,-2,
Allen School-Jamaica,Jamaica,NY,-2,
Premiere Career College,Irwindale,CA,-2,
The University of Texas MD Anderson Cancer Center,Houston,TX,26,
Paul Mitchell the School-Huntsville,Madison,AL,-2,
Estes Institute of Cosmetology Arts and Science,Visalia,CA,-2,
Baldwin Park Adult & Community Education,Baldwin Park,CA,-2,
Ventura Adult and Continuing Education,Ventura,CA,-2,
CT Aerotech,Hartford,CT,-2,
Stratford School for Aviation Maintenance Technicians,Stratford,CT,-2,
City College-Altamonte Springs,Altamonte Springs,FL,10,
Career Center of Southern Illinois,Red Bud,IL,-2,
Crave Beauty Academy,Wichita,KS,-2,
Hastings Beauty School,Hastings,MN,-2,
Kirksville Area Technical Center,Kirksville,MO,-2,
South Central Career Center,West Plains,MO,-2,
Saline County Career Center,Marshall,MO,-2,
Warrensburg Area Career Center,Warrensburg,MO,-2,
Cass Career Center,Harrisonville,MO,-2,
Applied Technology Services,Sunset Hills,MO,-2,
Central College of Cosmetology,Saint Robert,MO,-2,
Southeast Missouri Hospital College of Nursing and Health Sciences,Cape Girardeau,MO,26,
Messenger College,Bedford,TX,24,
Union County Vocational Technical School,Scotch Plains,NJ,-2,
Prism Career Institute-Philadelphia,Philadelphia,PA,-2,
Clinton Essex Warren Washington BOCES,Plattsburgh,NY,-2,
Jefferson Lewis BOCES-Practical Nursing Program,Watertown,NY,-2,
Veeb Nassau County School of Practical Nursing,Hicksville,NY,-2,
Cattaraugus Allegany BOCES-Practical Nursing Program,Olean,NY,-2,
Orange Ulster BOCES-Practical Nursing Program,Newburgh,NY,-2,
Wayne Finger Lakes BOCES-Practical Nursing Program,Newark,NY,-2,
Broome Delaware Tioga BOCES-Practical Nursing Program,Binghamton,NY,-2,
Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program,Hudson Falls,NY,-2,
Albany BOCES-Adult Practical Nursing Program,Albany,NY,-2,
Eastern Suffolk BOCES,Brentwood,NY,-2,0
Eastern Suffolk BOCES,Riverhead,NY,-2,1
Eastern Suffolk BOCES,Oakdale,NY,-2,2
Rockland County BOCES-Practical Nursing Program,West Nyack,NY,-2,
New York College of Health Professions,Syosset,NY,26,
Charles Stuart School of Diamond Setting,Brooklyn,NY,-2,
Penta County Joint Vocational School,Perrysburg,OH,-2,
Career and Technology Education Centers of Licking County,Newark,OH,-2,
Northern Career Institute,Eastlake,OH,-2,
Washington County Career Center-Adult Technical Training,Marietta,OH,-2,
Ohio Media School-Cincinnati,Norwood,OH,-2,
Vantage Career Center,Van Wert,OH,-2,
Indian Capital Technology Center-Muskogee,Muskogee,OK,-2,
Western Technology Center,Burns Flat,OK,-2,
Mid-America Technology Center,Wayne,OK,-2,
Eastern Oklahoma County Technology Center,Choctaw,OK,-2,
Wes Watkins Technology Center,Wetumka,OK,-2,
York County School of Technology-Adult & Continuing Education,York,PA,-2,
Chester County Intermediate Unit,Downingtown,PA,-2,
Jefferson County Dubois Area Vocational Technical Practical Nursing Program,Reynoldsville,PA,-2,
Greater Johnstown Career and Technology Center,Johnstown,PA,-2,
Mifflin County Academy of Science and Technology,Lewistown,PA,-2,
Lenape Technical School Practical Nursing Program,Ford City,PA,-2,
Venango County Area Vocational Technical School,Oil City,PA,-2,
Lancaster County Career and Technology Center,Willow Street,PA,13,
Lebanon County Area Vocational Technical School,Lebanon,PA,-2,
Indiana County Technology Center,Indiana,PA,-2,
Northern Tier Career Center,Towanda,PA,-2,
Hazleton Area Career Center,Hazle TWP.,PA,-2,
All-State Career School-Pittsburgh,West Mifflin,PA,-2,
Quality Technical and Beauty College,Bayamon,PR,-2,
D'Mart Institute,Barranquitas,PR,-2,
Automeca Technical College-Aguadilla,Aguadilla,PR,-2,
North Central Institute,Clarksville,TN,11,
Pipo Academy of Hair Design,El Paso,TX,-2,
Tint School of Makeup and Cosmetology-Dallas,Grand Prairie,TX,-2,
United Technical Center,Clarksburg,WV,-2,
Charles H McCann Technical School,North Adams,MA,-2,
Central California School of Continuing Education,San Luis Obispo,CA,-2,
Mercy Hospital School of Practical Nursing,Miami,FL,-2,
Rivertown School of Beauty Barber Skin Care and Nails,Columbus,GA,-2,
Atlanta Institute of Music and Media,Duluth,GA,1,
Illinois Media School,Lombard,IL,-2,
New Dimensions School of Hair Design,Joplin,MO,-2,
Jna Institute of Culinary Arts,Philadelphia,PA,12,
Putnam Career and Technical Center,Eleanor,WV,-2,
Crawford County Career and Technical Center Practical Nursing Program,Meadville,PA,-2,
Texas College of Cosmetology-San Angelo,San Angelo,TX,-2,
Automeca Technical College-Bayamon,Bayamon,PR,-2,
Automeca Technical College-Caguas,Caguas,PR,-2,
Automeca Technical College-Ponce,Ponce,PR,-2,
Centura College-Chesapeake,Chesapeake,VA,26,
University of Phoenix-Hawaii,Kapolei,HI,22,
Prism Career Institute-Cherry Hill,Cherry Hill,NJ,-2,
Sonoran University of Health Sciences,Tempe,AZ,26,
Escuela de Peritos Electricistas de Isabela Inc,Isabela,PR,-2,
Yeshiva D'monsey Rabbinical College,Monsey,NY,24,
Lincoln Technical Institute-Mahwah,Mahwah,NJ,-2,
Career Technical Institute,Washington,DC,7,
Northwest Vista College,San Antonio,TX,2,
Oconee Fall Line Technical College,Sandersville,GA,8,
York County Community College,Wells,ME,3,
Western Suffolk BOCES,Northport,NY,-2,
Arkansas State University-Mountain Home,Mountain Home,AR,8,
Columbia Gorge Community College,The Dalles,OR,3,
Bakke Graduate University,Dallas,TX,24,
Tillamook Bay Community College,Tillamook,OR,3,
Manhattan School of Computer Technology,Brooklyn,NY,-2,
Ross College-Hopkinsville,Hopkinsville,KY,10,
Paul Mitchell the School-St. George,Saint George,UT,-2,
Cadillac Institute of Cosmetology,Cadillac,MI,-2,
Arizona College of Nursing-Tempe,Tempe,AZ,10,
Vanguard-Sentinel Adult Career and Technology Center,Fremont,OH,-2,
Academy of Beauty Professionals,Raymore,MO,-2,0
Academy of Beauty Professionals,Madison,WI,-2,1
Academy of Beauty Professionals,Appleton,WI,-2,2
Academy of Beauty Professionals,Green Bay,WI,-2,3
New York Conservatory for Dramatic Arts,New York,NY,12,
Eastern International College-Jersey City,Jersey City,NJ,26,
Academia Serrant Inc,Ponce,PR,-2,
San Joaquin Valley College-Trades Education Center,Fresno,CA,11,
Pacific College,Costa Mesa,CA,26,
American College of Healthcare and Technology,Riverside,CA,-2,0
American College of Healthcare and Technology,Huntington Park,CA,-2,1
Compu-Med Vocational Careers Corp,Hialeah,FL,-2,0
Compu-Med Vocational Careers Corp,Miami,FL,,1
Advantage Technical College,Manati,PR,-2,0
Advantage Technical College,San Juan,PR,-2,1
Mid Cities Barber College,Grand Prairie,TX,-2,
Midwestern University-Glendale,Glendale,AZ,25,
Oregon Coast Community College,Newport,OR,6,
Gwinnett College-Sandy Springs,Sandy Springs,GA,-2,
Mildred Elley-Pittsfield Campus,Pittsfield,MA,-2,
Embry-Riddle Aeronautical University-Worldwide,Daytona Beach,FL,18,
Merkaz Bnos-Business School,Brooklyn,NY,-2,
Lia Schorr Institute of Cosmetic Skin Care Training,New York,NY,-2,
CET-Alexandria,Alexandria,VA,-2,
Aviation Institute of Maintenance-Norfolk,Norfolk,VA,-2,
Centura College-Richmond Main,North Chesterfield,VA,-2,
Osceola Technical College,Kissimmee,FL,-2,
Miami Ad School,Miami,FL,-2,
Green Country Technology Center,Okmulgee,OK,-2,
Nova College de Puerto Rico,Bayamon,PR,-2,
John Wesley International Barber and Beauty College,Long Beach,CA,-2,
Southeastern College-West Palm Beach,West Palm Beach,FL,10,
Ottawa University-Milwaukee,Brookfield,WI,22,
Klamath Community College,Klamath Falls,OR,3,
American College of Acupuncture and Oriental Med,Houston,TX,26,
AOMA Graduate School of Integrative Medicine,Austin,TX,26,
Urban College of Boston,Boston,MA,13,
Strayer University-Maryland,Suitland,MD,29,
Empire Beauty School-Monroeville,Monroeville,PA,-2,
Southern Careers Institute-San Antonio,San Antonio,TX,-2,0
Southern Careers Institute-San Antonio,San Antonio,TX,-2,1
Cayce/Reilly School of Massage,Virginia Beach,VA,-2,
Prism Career Institute-West Atlantic City,West  Atlantic City,NJ,-2,
Studio Jewelers,New York,NY,-2,
Praxis Institute,Miami,FL,-2,
San Juan Bautista School of Medicine,Caguas,PR,25,
Texas Health and Science University,Austin,TX,26,
Carver Career Center,Charleston,WV,10,
Cayuga Onondaga BOCES-Practical Nursing Program,Auburn,NY,-2,
Clearfield County Career and Technology Center,Clearfield,PA,-2,
Colegio de Cinematografia Artes y Television,Bayamon,PR,4,
Delaware County Technical School-Practical Nursing Program,Broomall,PA,-2,
Mid-Del Technology Center,Midwest City,OK,-2,
New York Institute of Massage Inc,Williamsville,NY,-2,
Dutchess BOCES-Practical Nursing Program,Poughkeepsie,NY,-2,
Escuela Tecnica de Electricidad,Ponce,PR,-2,
Institute of Technology,Clovis,CA,8,0
Institute of Technology,Salem,OR,-2,1
Bristol Technical Education Center,Bristol,CT,-2,
Genesee Valley BOCES-Practical Nursing Program,Batavia,NY,-2,
Henrico County-Saint Marys Hospital School of Practical Nursing,Henrico,VA,-2,
Herkimer County BOCES-Practical Nursing Program,Ilion,NY,-2,
International Beauty College,Garland,TX,-2,
Cape Coral Technical College,Cape Coral,FL,-2,
UPMC Mercy School of Nursing,Pittsburgh,PA,-2,
Ocean County Vocational-Technical School,Toms River,NJ,-2,
Yeshiva of the Telshe Alumni,Riverdale,NY,24,
Kenneth Shuler School of Cosmetology-Rock Hill,Rock Hill,SC,-2,
CET-El Paso,El Paso,TX,-2,
Appalachian School of Law,Grundy,VA,31,
Platt College-Ontario,Ontario,CA,23,
Delaware College of Art and Design,Wilmington,DE,12,
American University of Health Sciences,Signal Hill,CA,26,
Career Networks Institute,Santa Ana,CA,26,
Monty Tech,Fitchburg,MA,-2,
Okaloosa Technical College,Fort Walton Beach,FL,-2,
Lincoln Technical Institute-Lincoln,Lincoln,RI,-2,
Wayne County Schools Career Center,Smithville,OH,-2,
Carolinas College of Health Sciences,Charlotte,NC,26,
Western Governors University,Salt Lake City,UT,18,
California Aeronautical University,Bakersfield,CA,28,
Herzing University-New Orleans,Metairie,LA,23,
Florida Gulf Coast University,Fort Myers,FL,17,
Little Priest Tribal College,Winnebago,NE,33,
South Louisiana Community College,Lafayette,LA,7,
Pima Medical Institute-Chula Vista,Chula Vista,CA,10,
Lincoln College of Technology-Marietta,Marietta,GA,11,
Academy of Hair Design-Lufkin,Lufkin,TX,-2,
Pathway Vocational Academy,Beaumont,TX,-2,
Toni & Guy Hairdressing Academy-Worcester,Worcester,MA,-2,
Northwest HVAC/R Training Center,Spokane,WA,-2,
Myotherapy Institute,Lincoln,NE,10,
Florida College of Integrative Medicine,Orlando,FL,26,
New Professions Technical Institute,Miami,FL,-2,
Strand College of Hair Design,Myrtle Beach,SC,-2,
City College-Miami,Miami,FL,14,
Ilisagvik College,Barrow,AK,33,
Community College of Baltimore County,Baltimore,MD,4,
White Earth Tribal and Community College,Mahnomen,MN,33,
Blue Cliff College-Metairie,Metairie,LA,-2,
Creative Images Institute of Cosmetology-North Dayton,Dayton,OH,-2,
Dewey University-Carolina,Carolina,PR,23,
Yeshiva College of the Nations Capital,Silver  Spring,MD,24,
Louisiana State University Health Sciences Center-Shreveport,Shreveport,LA,25,
Hair Academy II,Hillcrest Heights,MD,-2,
Southwest Acupuncture College-Boulder,Boulder,CO,26,
River Parishes Community College,Gonzales,LA,5,
Los Angeles Film School,Hollywood,CA,30,
FINE Mortuary College,Norwood,MA,12,
International Baptist College and Seminary,Chandler,AZ,24,
Gwinnett College,Raleigh,NC,-2,
Fortis College-Foley,Foley,AL,-2,
Medical Training College,Baton Rouge,LA,-2,
Toni & Guy Hairdressing Academy-Plano,Plano,TX,-2,
University of Connecticut-Waterbury Campus,Waterbury,CT,-2,
University of Connecticut-Avery Point,Groton,CT,-2,
University of Connecticut-Stamford,Stamford,CT,-2,
University of Management and Technology,Arlington,VA,17,
Baton Rouge Community College,Baton Rouge,LA,4,
IYRS School of Technology & Trades,Newport,RI,-2,
Midwest Technical Institute-Illinois,Springfield,IL,-2,
Advanced Barber College and Hair Design,Weslaco,TX,-2,
The College of Health Care Professions-Austin,Austin,TX,10,
New Community Career & Technical Institute,Newark,NJ,-2,
Chicago School of Professional Psychology-College of Nursing,Richardson,TX,26,
Professional Golfers Career College,Temecula,CA,13,
Chester Career College,CHESTER,VA,10,
Milan Institute-San Antonio Ingram,San Antonio,TX,-2,
Rudae's School of Beauty Culture-Ft Wayne,Fort Wayne,IN,-2,
Carrington College-San Jose,San Jose,CA,10,
Brookline College-Tucson,Tucson,AZ,7,
Miller-Motte College-McCann-Lewisburg,Lewisburg,PA,7,
Carrington College-Pleasant Hill Campus,Pleasant Hill,CA,10,
Modern Hairstyling Institute-Carolina,Carolina,PR,-2,
Universal Technical Institute of California Inc,Rancho Cucamonga,CA,11,
American InterContinental University-Atlanta,Atlanta,GA,19,
The Academy of Hair Design Six,Hattiesburg,MS,-2,
Eastern West Virginia Community and Technical College,Moorefield,WV,5,
Aviation Institute of Maintenance-Indianapolis,Indianapolis,IN,-2,
IVAEM College,Caguas,PR,-2,
Midwest College of Oriental Medicine-Skokie,Skokie,IL,26,
Carrington College-Spokane,Spokane,WA,10,
Cascadia College,Bothell,WA,14,
CBD College,Los Angeles,CA,10,
East West College of Natural Medicine,Sarasota,FL,26,
Atlantic Institute of Oriental Medicine,Fort Lauderdale,FL,26,
MDT College of Health Sciences,Chicago,IL,-2,
Bennett Career Institute,Washington,DC,-2,
Blue Cliff College-Lafayette,Lafayette,LA,-2,
Community Care College,Tulsa,OK,8,
Erie 1 BOCES,West Seneca,NY,-2,
HDS Truck Driving Institute,Tucson,AZ,-2,
International Training Careers,Miami,FL,-2,
The King's University,Southlake,TX,24,
Fortis College-Baton Rouge,Baton Rouge,LA,10,
My Le's Beauty College,Sacramento,CA,-2,0
My Le's Beauty College,Gretna,LA,-2,1
New Concept Massage and Beauty School,Miami,FL,-2,
New York College of Traditional Chinese Medicine,Mineola,NY,26,
Fortis College-Orange Park,Orange Park,FL,10,
Northeastern Seminary,Rochester,NY,24,
Omega Institute of Cosmetology,Houma,LA,-2,
Pacific Islands University,Mangilao,GU,21,
PCI College,Cerritos,CA,26,
Rosedale Bible College,Irwin,OH,13,
Seattle Institute of East Asian Medicine,Seattle,WA,26,
Shawnee Beauty College,Shawnee,OK,-2,
Acupuncture and Massage College,Miami,FL,26,
Upper Valley Educators Institute,Lebanon,NH,-2,
Keck Graduate Institute,Claremont,CA,18,
Aviation Institute of Maintenance-Atlanta,Duluth,GA,-2,
Empire Beauty School-Kennesaw,Kennesaw,GA,-2,
New York Automotive and Diesel Institute,Jamaica,NY,11,
Remington College-Baton Rouge Campus,Baton Rouge,LA,11,
New Saint Andrews College,Moscow,ID,21,
Arkansas State University-Newport,Newport,AR,9,
Atenas College,Manati,PR,26,
Onondaga Cortland Madison BOCES,Liverpool,NY,-2,
National American University-Ellsworth,Box Elder,SD,29,
Pillar College,Newark,NJ,21,
Miami Ad School-San Francisco,San Francisco,CA,-2,
Oregon State University-Cascades Campus,Bend,OR,-2,
Milan Institute-Amarillo,Amarillo,TX,-2,
