institution,city,state,carnegie_basic,campus
Diablo Valley College,Pleasant Hill,CA,1,
Dominican University of California,San Rafael,CA,19,
Dominican School of Philosophy & Theology,Berkeley,CA,20,
East Los Angeles College,Monterey Park,CA,2,
El Camino Community College District,Torrance,CA,1,
Emperor's College of Traditional Oriental Medicine,Santa Monica,CA,26,
Empire College,Santa Rosa,CA,23,
Evergreen Valley College,San Jose,CA,2,
FIDM-Fashion Institute of Design & Merchandising,Los Angeles,CA,23,
Feather River Community College District,Quincy,CA,14,
Federico Beauty Institute,Sacramento,CA,-2,
Fielding Graduate University,Santa Barbara,CA,17,
Five Branches University,Santa Cruz,CA,26,
Redondo Beach Beauty College,Torrance,CA,-2,
Foothill College,Los Altos Hills,CA,14,
Franciscan School of Theology,San Diego,CA,24,
Fredrick and Charles Beauty College,Eureka,CA,-2,
Fresno City College,Fresno,CA,5,
Fresno Pacific University,Fresno,CA,18,
Fuller Theological Seminary,Pasadena,CA,24,
Fullerton College,Fullerton,CA,1,
Gavilan College,Gilroy,CA,1,
Gemological Institute of America-Carlsbad,Carlsbad,CA,-2,
Glendale Career College,Glendale,CA,10,
Golden Gate University,San Francisco,CA,18,
Golden West College,Huntington Beach,CA,2,
Graduate Theological Union,Berkeley,CA,24,
Grossmont College,El Cajon,CA,1,
Salon Success Academy-Riverside,Riverside,CA,-2,
Hartnell College,Salinas,CA,1,
Harvey Mudd College,Claremont,CA,21,
Hilltop Beauty School,Daly City,CA,-2,
Holy Names University,Oakland,CA,20,
Pacifica Graduate Institute,Carpinteria,CA,26,
California State Polytechnic University-Humboldt,Arcata,CA,18,
Humphreys University-Stockton and Modesto Campuses,Stockton,CA,20,
Imperial Valley College,Imperial,CA,1,
Institute for Business and Technology,Santa Clara,CA,10,
Interior Designers Institute,Newport Beach,CA,30,
International School of Cosmetology,Los Angeles,CA,-2,0
International School of Cosmetology,Scottsdale,AZ,-2,1
Irvine Valley College,Irvine,CA,2,
Bellus Academy-El Cajon,El Cajon,CA,-2,
American Jewish University,Los Angeles,CA,21,
Reedley College,Reedley,CA,3,
Life Pacific University,San Dimas,CA,22,
University of La Verne,La Verne,CA,17,
Laguna College of Art and Design,Laguna Beach,CA,30,
Lake Tahoe Community College,South Lake Tahoe,CA,6,
Lancaster Beauty School,Lancaster,CA,-2,
Laney College,Oakland,CA,6,
Lassen Community College,Susanville,CA,2,
Latin American Bible Institute,La Puente,CA,24,
Life Chiropractic College West,Hayward,CA,26,
Lincoln University,Oakland,CA,29,0
Lincoln University,Jefferson City,MO,22,1
Lincoln University,Lincoln University,PA,19,2
Southern California Seminary,El Cajon,CA,22,
La Sierra University,Riverside,CA,19,
Loma Linda University,Loma Linda,CA,16,
Long Beach City College,Long Beach,CA,1,
Southern California University of Health Sciences,Whittier,CA,26,
Los Angeles Harbor College,Wilmington,CA,2,
Los Angeles Pierce College,Woodland Hills,CA,2,
Los Angeles Southwest College,Los Angeles,CA,3,
Los Angeles Trade Technical College,Los Angeles,CA,9,
Los Angeles Valley College,Valley Glen,CA,2,
The Master's University and Seminary,Santa Clarita,CA,17,
Los Angeles City College,Los Angeles,CA,3,
Los Angeles County College of Nursing and Allied Health,Los Angeles,CA,10,
Los Angeles Mission College,Sylmar,CA,3,
Los Medanos College,Pittsburg,CA,1,
Loyola Marymount University,Los Angeles,CA,16,
Lu Ross Academy,Ventura,CA,-2,
Lyle's College of Beauty,Bakersfield,CA,-2,
Lyle's College of  Beauty,Fresno,CA,-2,
Lytles Redwood Empire Beauty College,Santa Rosa,CA,-2,
MTI College,Sacramento,CA,8,
College of Marin,Kentfield,CA,6,
Mendocino College,Ukiah,CA,3,
Menlo College,Atherton,CA,29,
Merced College,Merced,CA,1,
Merritt College,Oakland,CA,6,
MiraCosta College,Oceanside,CA,14,
